eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,547.84447064,511,0.017439656,0.2536621,8.396295,-0.0011713291,11.304599,0.29951202869415283,1080,2211840,4336.00277809,2211840
1000.0,547.52942532,519,0.00867898,0.12963867,8.401643,-0.0019340625,10.650438,0.1292315125465393,1090,2232320,4375.717326589,2232320
1000.0,544.2046922200001,512,0.01456999,0.20666504,8.405811,0.00037372595,11.781797,0.09473198652267456,1100,2252800,4415.935565333999,2252800
1000.0,544.03183577,510,0.013876669,0.20410156,8.413049,-0.003451252,11.574386,0.04729020595550537,1110,2273280,4455.970413591,2273280
1000.0,546.92221253,513,0.009451367,0.14355469,8.403123,-0.0019320601,11.074518,0.10102444887161255,1120,2293760,4495.901835694,2293760
1000.0,549.4789471600001,512,0.011113678,0.17138672,8.399001,-0.0009446091,10.972811,0.08285129070281982,1130,2314240,4536.0684734589995,2314240
1000.0,549.7203075499999,510,0.009622693,0.1451416,8.402448,-0.0028801863,11.361776,0.23622888326644897,1140,2334720,4575.987103509,2334720
1000.0,553.4545328799999,514,0.01337866,0.18835449,8.39,-0.00034244597,11.489256,0.1955174207687378,1150,2355200,4615.592357846001,2355200
1000.0,558.63449361,511,0.022622867,0.28564453,8.365128,-0.0028139348,10.760694,0.1571882963180542,1160,2375680,4655.418682170999,2375680
1000.0,563.26919291,517,0.011597311,0.17590332,8.377179,-0.00060279894,13.583979,0.1677040457725525,1170,2396160,4695.400321313,2396160
1000.0,564.47808234,519,0.005205009,0.05834961,8.394222,-0.0024068423,13.243673,0.16340887546539307,1180,2416640,4734.857898750999,2416640
1000.0,559.1178757600001,510,0.013562524,0.19470215,8.417152,-0.00164604,12.113279,0.2113170623779297,1190,2437120,4774.600711699,2437120
1000.0,552.5415084699999,512,0.01181549,0.16369629,8.412696,-0.0013015328,12.073374,0.20466923713684082,1200,2457600,4814.173887319999,2457600
1000.0,549.25049459,512,0.012194797,0.18115234,8.37422,-0.0015673182,13.204726,0.2016848921775818,1210,2478080,4853.848127927,2478080
1000.0,548.73253235,518,0.010209589,0.14709473,8.354996,-0.0032934663,13.528726,0.09485375881195068,1220,2498560,4893.493577863999,2498560
1000.0,553.3694166,521,0.006895208,0.088134766,8.356813,-0.0013449164,16.05717,0.19758933782577515,1230,2519040,4933.103436035,2519040
1000.0,566.9354432700001,513,0.021317856,0.2512207,8.373226,-0.0024866408,12.649637,0.1363290548324585,1240,2539520,4972.788562188,2539520
1000.0,579.0462661400001,513,0.008118187,0.11364746,8.380244,6.311579e-05,18.193554,0.09212923049926758,1250,2560000,5012.744078873,2560000
