# {"t_start": 1587161644.6280663, "env_id": "HalfCheetahBulletEnv-v0"} 
r,l,t
569.751641,1000,5187.146431
576.360483,1000,5188.980838
583.044208,1000,5190.9883
566.241556,1000,5192.806111
563.381325,1000,5194.857672
576.206365,1000,5196.715807
572.056332,1000,5198.755508
590.025559,1000,5200.558945
605.999814,1000,5202.601102
563.130489,1000,5204.447028
589.152104,1000,5206.499161
580.395124,1000,5208.367887
566.267689,1000,5210.439432
576.875393,1000,5212.298909
568.196031,1000,5214.367934
571.679127,1000,5216.190843
557.071598,1000,5218.229823
567.460131,1000,5220.083986
575.77118,1000,5222.157789
570.080207,1000,5224.036807
579.786813,1000,5226.180067
561.23445,1000,5228.047059
563.146841,1000,5230.169517
572.033064,1000,5232.043614
582.587553,1000,5234.09114
583.396515,1000,5235.955022
571.048764,1000,5238.057955
590.498367,1000,5239.908687
584.732815,1000,5241.955587
586.841778,1000,5243.802366
565.551876,1000,5245.862043
572.776972,1000,5247.707943
591.431443,1000,5249.776828
590.534335,1000,5251.598701
589.144757,1000,5253.704746
582.85622,1000,5255.551531
606.976016,1000,5257.603539
595.31659,1000,5259.436667
593.350408,1000,5261.481523
555.532894,1000,5263.31723
586.388195,1000,5265.183493
604.887368,1000,5267.219685
592.249069,1000,5269.072938
591.963095,1000,5271.121611
617.861068,1000,5272.907232
583.791909,1000,5274.957316
604.507226,1000,5276.840547
564.852072,1000,5278.895363
533.507588,1000,5280.753667
576.529982,1000,5282.823671
601.227222,1000,5284.651289
508.741277,1000,5286.757768
461.050956,1000,5288.649236
554.435838,1000,5290.757312
573.662073,1000,5292.582561
571.905084,1000,5294.647594
559.37859,1000,5296.492619
595.024742,1000,5298.57741
572.576854,1000,5300.432001
565.595905,1000,5302.475462
588.889431,1000,5304.325316
560.614997,1000,5306.371172
563.111747,1000,5308.177101
586.171959,1000,5310.219191
605.218266,1000,5312.063713
622.0846,1000,5314.114767
578.609449,1000,5315.951908
571.150022,1000,5318.007223
610.895835,1000,5319.846491
595.887322,1000,5321.832697
580.711869,1000,5323.650881
589.439352,1000,5325.706483
615.196183,1000,5327.516769
579.233264,1000,5329.563001
591.650413,1000,5331.397108
590.969555,1000,5333.446953
604.160677,1000,5335.254169
597.30279,1000,5337.314389
592.507709,1000,5339.177068
622.902459,1000,5341.194411
613.08294,1000,5343.014955
617.90826,1000,5345.052572
615.384339,1000,5346.982383
612.475228,1000,5348.802079
612.961208,1000,5350.904863
624.960626,1000,5352.767684
596.935311,1000,5354.844108
606.506352,1000,5356.7089
591.715264,1000,5358.766922
605.575382,1000,5360.604751
599.468138,1000,5362.657295
594.195914,1000,5364.483237
591.352712,1000,5366.53841
609.772529,1000,5368.35082
618.682075,1000,5370.428479
619.559505,1000,5372.293051
593.055293,1000,5374.364031
599.090768,1000,5376.218235
595.896887,1000,5378.260193
591.935701,1000,5380.093578
598.136532,1000,5382.113672
574.509138,1000,5383.991932
607.477988,1000,5386.000386
620.326948,1000,5387.879452
600.113521,1000,5389.947831
609.867254,1000,5391.755699
601.488993,1000,5393.803188
600.116651,1000,5395.692419
600.147385,1000,5397.708429
606.020056,1000,5399.564768
605.657478,1000,5401.645229
620.743671,1000,5403.477172
624.055753,1000,5405.514831
617.81297,1000,5407.435602
617.479525,1000,5409.518272
598.872909,1000,5411.41559
623.720235,1000,5413.526995
606.545595,1000,5415.369799
604.246456,1000,5417.433059
599.398303,1000,5419.263097
623.08479,1000,5421.325701
585.509325,1000,5423.18036
604.675256,1000,5425.204072
607.796608,1000,5427.017067
576.487322,1000,5429.008363
644.366185,1000,5430.805746
604.982611,1000,5432.644598
591.637352,1000,5434.689326
608.201467,1000,5436.509506
597.262397,1000,5438.552498
594.774595,1000,5440.40779
603.228972,1000,5442.472231
608.804381,1000,5444.285301
560.859227,1000,5446.298969
549.940854,1000,5448.149489
545.038012,1000,5450.242292
613.258432,1000,5452.095953
623.254384,1000,5454.169428
617.673584,1000,5456.041189
616.183298,1000,5458.036757
611.622809,1000,5459.896106
629.911241,1000,5461.940882
623.878851,1000,5463.757442
626.826363,1000,5465.740905
